calDate,connectionStream,adCost,campaignId,clicksCounter,impressionsCounter
2021-10-19 00:00:00.000000 UTC,4580834090943463925.google_ads,10.28,1886376307672751723,29.0,183.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,3.05,-247250641193721630,8.0,162.0
2021-10-07 00:00:00.000000 UTC,4580834090943463925.google_ads,4.97,3569910158619531168,14.0,3928.0
2021-10-18 00:00:00.000000 UTC,4580834090943463925.google_ads,10.69,3569910158619531168,29.0,5495.0
2021-10-25 00:00:00.000000 UTC,4580834090943463925.google_ads,7.08,3569910158619531168,22.0,6399.0
2021-10-05 00:00:00.000000 UTC,4580834090943463925.google_ads,7.07,3569910158619531168,11.0,4680.0
2021-10-04 00:00:00.000000 UTC,4580834090943463925.google_ads,16.03,-6046553957937071741,57.0,7304.0
2021-10-19 00:00:00.000000 UTC,4580834090943463925.google_ads,12.09,-6046553957937071741,56.0,7533.0
2021-10-05 00:00:00.000000 UTC,4580834090943463925.google_ads,10.46,-6046553957937071741,27.0,3657.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,9.88,-6046553957937071741,50.0,5700.0
2021-10-13 00:00:00.000000 UTC,4580834090943463925.google_ads,14.73,-7465575227209255675,41.0,5678.0
2021-10-13 00:00:00.000000 UTC,4580834090943463925.google_ads,14.0,-7732244873155140608,36.0,461.0
2021-10-10 00:00:00.000000 UTC,4580834090943463925.google_ads,9.26,1886376307672751723,17.0,58.0
2021-10-16 00:00:00.000000 UTC,4580834090943463925.google_ads,8.26,1886376307672751723,26.0,70.0
2021-10-20 00:00:00.000000 UTC,4580834090943463925.google_ads,12.05,3569910158619531168,22.0,4568.0
2021-10-06 00:00:00.000000 UTC,4580834090943463925.google_ads,12.29,-6046553957937071741,47.0,6416.0
2021-10-11 00:00:00.000000 UTC,4580834090943463925.google_ads,10.2,-6046553957937071741,37.0,3873.0
2021-10-15 00:00:00.000000 UTC,4580834090943463925.google_ads,14.0,-7465575227209255675,30.0,3364.0
2021-10-28 00:00:00.000000 UTC,4580834090943463925.google_ads,8.74,-7465575227209255675,37.0,5037.0
2021-10-26 00:00:00.000000 UTC,4580834090943463925.google_ads,11.97,1886376307672751723,25.0,219.0
2021-10-31 00:00:00.000000 UTC,4580834090943463925.google_ads,4.83,1886376307672751723,24.0,172.0
2021-10-12 00:00:00.000000 UTC,4580834090943463925.google_ads,9.96,1886376307672751723,27.0,131.0
2021-10-21 00:00:00.000000 UTC,4580834090943463925.google_ads,20.0,1886376307672751723,28.0,380.0
2021-10-29 00:00:00.000000 UTC,4580834090943463925.google_ads,8.67,1886376307672751723,29.0,100.0
2021-10-07 00:00:00.000000 UTC,4580834090943463925.google_ads,13.82,1886376307672751723,49.0,225.0
2021-10-04 00:00:00.000000 UTC,4580834090943463925.google_ads,12.32,1886376307672751723,40.0,235.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,13.22,1886376307672751723,32.0,171.0
2021-10-14 00:00:00.000000 UTC,4580834090943463925.google_ads,8.54,1886376307672751723,30.0,112.0
2021-10-05 00:00:00.000000 UTC,4580834090943463925.google_ads,14.56,1886376307672751723,41.0,214.0
2021-10-23 00:00:00.000000 UTC,4580834090943463925.google_ads,7.89,1886376307672751723,25.0,94.0
2021-10-22 00:00:00.000000 UTC,4580834090943463925.google_ads,14.57,1886376307672751723,44.0,224.0
2021-10-28 00:00:00.000000 UTC,4580834090943463925.google_ads,9.06,1886376307672751723,22.0,116.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,4.06,1886376307672751723,23.0,137.0
2021-10-30 00:00:00.000000 UTC,4580834090943463925.google_ads,7.1,1886376307672751723,24.0,133.0
2021-10-25 00:00:00.000000 UTC,4580834090943463925.google_ads,12.46,1886376307672751723,26.0,151.0
2021-10-27 00:00:00.000000 UTC,4580834090943463925.google_ads,9.19,1886376307672751723,33.0,295.0
2021-10-06 00:00:00.000000 UTC,4580834090943463925.google_ads,14.74,1886376307672751723,44.0,245.0
2021-10-15 00:00:00.000000 UTC,4580834090943463925.google_ads,5.98,1886376307672751723,16.0,112.0
2021-10-02 00:00:00.000000 UTC,4580834090943463925.google_ads,8.15,1886376307672751723,24.0,148.0
2021-10-08 00:00:00.000000 UTC,4580834090943463925.google_ads,9.32,1886376307672751723,19.0,50.0
2021-10-11 00:00:00.000000 UTC,4580834090943463925.google_ads,8.53,1886376307672751723,22.0,126.0
